DSYear,DSType,SelectedGeography,SubjectArea,Geography,GEONAME,GEOID10,LOGRECNO,VarID,TableTitle,ShortName,Value,MoE,StdErr2,LongName
2010,sf1,Detroit 2010 BGs,Race,"Michigan Block Groups, Wayne County","Block Group 1, Census Tract 5039, Wayne County, Michigan",2.62E+11,357650,P0030002,RACE,White alone,12,0,0,Total:%White alone
2010,sf1,Detroit 2010 BGs,Race,"Michigan Block Groups, Wayne County","Block Group 2, Census Tract 5039, Wayne County, Michigan",2.62E+11,357651,P0030002,RACE,White alone,3,0,0,Total:%White alone
2010,sf1,Detroit 2010 BGs,Race,"Michigan Block Groups, Wayne County","Block Group 3, Census Tract 5039, Wayne County, Michigan",2.62E+11,357652,P0030002,RACE,White alone,21,0,0,Total:%White alone
2010,sf1,Detroit 2010 BGs,Race,"Michigan Block Groups, Wayne County","Block Group 1, Census Tract 5040, Wayne County, Michigan",2.62E+11,357654,P0030002,RACE,White alone,16,0,0,Total:%White alone
2010,sf1,Detroit 2010 BGs,Race,"Michigan Block Groups, Wayne County","Block Group 2, Census Tract 5040, Wayne County, Michigan",2.62E+11,357655,P0030002,RACE,White alone,20,0,0,Total:%White alone
2010,sf1,Detroit 2010 BGs,Race,"Michigan Block Groups, Wayne County","Block Group 1, Census Tract 5041, Wayne County, Michigan",2.62E+11,357657,P0030002,RACE,White alone,3,0,0,Total:%White alone
2010,sf1,Detroit 2010 BGs,Race,"Michigan Block Groups, Wayne County","Block Group 2, Census Tract 5041, Wayne County, Michigan",2.62E+11,357658,P0030002,RACE,White alone,13,0,0,Total:%White alone
2010,sf1,Detroit 2010 BGs,Race,"Michigan Block Groups, Wayne County","Block Group 3, Census Tract 5041, Wayne County, Michigan",2.62E+11,357659,P0030002,RACE,White alone,21,0,0,Total:%White alone
2010,sf1,Detroit 2010 BGs,Race,"Michigan Block Groups, Wayne County","Block Group 1, Census Tract 5042, Wayne County, Michigan",2.62E+11,357661,P0030002,RACE,White alone,8,0,0,Total:%White alone
2010,sf1,Detroit 2010 BGs,Race,"Michigan Block Groups, Wayne County","Block Group 2, Census Tract 5042, Wayne County, Michigan",2.62E+11,357662,P0030002,RACE,White alone,4,0,0,Total:%White alone
2010,sf1,Detroit 2010 BGs,Race,"Michigan Block Groups, Wayne County","Block Group 3, Census Tract 5042, Wayne County, Michigan",2.62E+11,357663,P0030002,RACE,White alone,5,0,0,Total:%White alone
2010,sf1,Detroit 2010 BGs,Race,"Michigan Block Groups, Wayne County","Block Group 4, Census Tract 5042, Wayne County, Michigan",2.62E+11,357664,P0030002,RACE,White alone,0,0,0,Total:%White alone
2010,sf1,Detroit 2010 BGs,Race,"Michigan Block Groups, Wayne County","Block Group 1, Census Tract 5043, Wayne County, Michigan",2.62E+11,357666,P0030002,RACE,White alone,17,0,0,Total:%White alone
2010,sf1,Detroit 2010 BGs,Race,"Michigan Block Groups, Wayne County","Block Group 2, Census Tract 5043, Wayne County, Michigan",2.62E+11,357667,P0030002,RACE,White alone,35,0,0,Total:%White alone
2010,sf1,Detroit 2010 BGs,Race,"Michigan Block Groups, Wayne County","Block Group 3, Census Tract 5043, Wayne County, Michigan",2.62E+11,357668,P0030002,RACE,White alone,16,0,0,Total:%White alone
2010,sf1,Detroit 2010 BGs,Race,"Michigan Block Groups, Wayne County","Block Group 1, Census Tract 5044, Wayne County, Michigan",2.62E+11,357670,P0030002,RACE,White alone,5,0,0,Total:%White alone
2010,sf1,Detroit 2010 BGs,Race,"Michigan Block Groups, Wayne County","Block Group 2, Census Tract 5044, Wayne County, Michigan",2.62E+11,357671,P0030002,RACE,White alone,12,0,0,Total:%White alone
2010,sf1,Detroit 2010 BGs,Race,"Michigan Block Groups, Wayne County","Block Group 3, Census Tract 5044, Wayne County, Michigan",2.62E+11,357672,P0030002,RACE,White alone,12,0,0,Total:%White alone
2010,sf1,Detroit 2010 BGs,Race,"Michigan Block Groups, Wayne County","Block Group 1, Census Tract 5047, Wayne County, Michigan",2.62E+11,357674,P0030002,RACE,White alone,12,0,0,Total:%White alone
2010,sf1,Detroit 2010 BGs,Race,"Michigan Block Groups, Wayne County","Block Group 2, Census Tract 5047, Wayne County, Michigan",2.62E+11,357675,P0030002,RACE,White alone,10,0,0,Total:%White alone
2010,sf1,Detroit 2010 BGs,Race,"Michigan Block Groups, Wayne County","Block Group 3, Census Tract 5047, Wayne County, Michigan",2.62E+11,357676,P0030002,RACE,White alone,6,0,0,Total:%White alone
2010,sf1,Detroit 2010 BGs,Race,"Michigan Block Groups, Wayne County","Block Group 1, Census Tract 5048, Wayne County, Michigan",2.62E+11,357678,P0030002,RACE,White alone,7,0,0,Total:%White alone
2010,sf1,Detroit 2010 BGs,Race,"Michigan Block Groups, Wayne County","Block Group 2, Census Tract 5048, Wayne County, Michigan",2.62E+11,357679,P0030002,RACE,White alone,37,0,0,Total:%White alone
2010,sf1,Detroit 2010 BGs,Race,"Michigan Block Groups, Wayne County","Block Group 1, Census Tract 5049, Wayne County, Michigan",2.62E+11,357681,P0030002,RACE,White alone,28,0,0,Total:%White alone
2010,sf1,Detroit 2010 BGs,Race,"Michigan Block Groups, Wayne County","Block Group 2, Census Tract 5049, Wayne County, Michigan",2.62E+11,357682,P0030002,RACE,White alone,27,0,0,Total:%White alone
2010,sf1,Detroit 2010 BGs,Race,"Michigan Block Groups, Wayne County","Block Group 3, Census Tract 5049, Wayne County, Michigan",2.62E+11,357683,P0030002,RACE,White alone,29,0,0,Total:%White alone
2010,sf1,Detroit 2010 BGs,Race,"Michigan Block Groups, Wayne County","Block Group 4, Census Tract 5049, Wayne County, Michigan",2.62E+11,357684,P0030002,RACE,White alone,25,0,0,Total:%White alone
2010,sf1,Detroit 2010 BGs,Race,"Michigan Block Groups, Wayne County","Block Group 1, Census Tract 5050, Wayne County, Michigan",2.62E+11,357686,P0030002,RACE,White alone,40,0,0,Total:%White alone
2010,sf1,Detroit 2010 BGs,Race,"Michigan Block Groups, Wayne County","Block Group 2, Census Tract 5050, Wayne County, Michigan",2.62E+11,357687,P0030002,RACE,White alone,4,0,0,Total:%White alone
2010,sf1,Detroit 2010 BGs,Race,"Michigan Block Groups, Wayne County","Block Group 1, Census Tract 5051, Wayne County, Michigan",2.62E+11,357689,P0030002,RACE,White alone,48,0,0,Total:%White alone
2010,sf1,Detroit 2010 BGs,Race,"Michigan Block Groups, Wayne County","Block Group 2, Census Tract 5051, Wayne County, Michigan",2.62E+11,357690,P0030002,RACE,White alone,56,0,0,Total:%White alone
2010,sf1,Detroit 2010 BGs,Race,"Michigan Block Groups, Wayne County","Block Group 3, Census Tract 5051, Wayne County, Michigan",2.62E+11,357691,P0030002,RACE,White alone,66,0,0,Total:%White alone
2010,sf1,Detroit 2010 BGs,Race,"Michigan Block Groups, Wayne County","Block Group 4, Census Tract 5051, Wayne County, Michigan",2.62E+11,357692,P0030002,RACE,White alone,15,0,0,Total:%White alone
2010,sf1,Detroit 2010 BGs,Race,"Michigan Block Groups, Wayne County","Block Group 5, Census Tract 5051, Wayne County, Michigan",2.62E+11,357693,P0030002,RACE,White alone,46,0,0,Total:%White alone
